Assert (16),Async Hooks (5),Buffer (67),C++ Addons (1),Child Process (12),Cluster (9),Console (25),Crypto (72),DNS (37),Errors (2),Events (16),File System (130),HTTP (28),HTTP/2 (43),HTTPS (9),Inspector (6),Modules (4),Net (41),OS (17),Path (11),Performance Timing API (11),Process (30),Query String (4),Readline (13),REPL (5),Stream (36),String Decoder (2),Timers (11),TLS (SSL) (25),Trace Events (4),TTY (3),UDP/Datagram Sockets (20),URL (22),Util (71),V8 (27),VM (Executing JavaScript) (14),Worker Threads (9),Zlib (24)
"assert(value[, message])",async_hooks.createHook(callbacks),"buffer.transcode(source, fromEnc, toEnc)","void AtExit(callback, args)","child_process.exec(command[, options][, callback])",· cluster.disconnect([callback]),"console.assert(value[, ...message])",Certificate.exportChallenge(spkac),resolver.cancel(),new Error(message),"EventEmitter.listenerCount(emitter, eventName)",dirent.isBlockDevice(),new Agent([options]),http2session.close([callback]),server.close([callback]),inspector.close(),require(),"new net.Server([options][, connectionListener])",os.arch(),"path.basename(path[, ext])",performance.clearMarks([name]),process.abort(),querystring.escape(str),rl.close(),"replServer.defineCommand(keyword, cmd)",writable.cork(),stringDecoder.end([buffer]),immediate.ref(),"server.addContext(hostname, context)",tracing.disable(),readStream.setRawMode(mode),"socket.addMembership(multicastAddress[, multicastInterface])",url.toString(),util.callbackify(original),v8.cachedDataVersionTag(),module.evaluate([options]),port.close(),zlib.close([callback])
"assert.deepEqual(actual, expected[, message])",asyncHook.enable(),"Class Method: Buffer.alloc(size[, fill[, encoding]])",,"child_process.execFile(file[, args][, options][, callback])",· cluster.fork([env]),console.clear(),"Certificate.exportPublicKey(spkac[, encoding])",dns.getServers(),"Error.captureStackTrace(targetObject[, constructorOpt])","emitter.addListener(eventName, listener)",dirent.isCharacterDevice(),"agent.createConnection(options[, callback])","http2session.destroy([error][, code])",server.listen(),"inspector.open([port[, host[, wait]]])",module.require(id),server.address(),os.cpus(),path.dirname(path),performance.mark([name]),process.chdir(directory),"querystring.parse(str[, sep[, eq[, options]]])",rl.pause(),replServer.displayPrompt([preserveCursor]),writable.destroy([error]),stringDecoder.write(buffer),immediate.unref(),server.address(),tracing.enable(),writeStream.getColorDepth([env]),socket.address(),url.toJSON(),util.debuglog(section),v8.getHeapSpaceStatistics(),module.instantiate(),"port.postMessage(value[, transferList])","zlib.flush([kind, ]callback)"
"assert.deepStrictEqual(actual, expected[, message])",asyncHook.disable(),Class Method: Buffer.allocUnsafe(size),,"child_process.fork(modulePath[, args][, options])",· cluster.setupMaster([settings]),console.count([label]),Certificate.verifySpkac(spkac),"dns.lookup(hostname[, options], callback)",,"emitter.emit(eventName[, ...args])",dirent.isDirectory(),agent.keepSocketAlive(socket),"http2session.goaway([code[, lastStreamID[, opaqueData]]])",,inspector.url(),"require.resolve(request[, options])",server.close([callback]),os.endianness(),path.extname(path),"performance.measure(name, startMark, endMark)",process.cpuUsage([previousValue]),"querystring.stringify(obj[, sep[, eq[, options]]])",rl.prompt([preserveCursor]),replServer.clearBufferedCommand(),"writable.end([chunk][, encoding][, callback])",,timeout.ref(),server.close([callback]),trace_events.createTracing(options),tty.isatty(fd),"socket.bind([port][, address][, callback])","urlSearchParams.append(name, value)","util.deprecate(fn, msg[, code])",v8.getHeapStatistics(),module.link(linker),port.ref(),"zlib.params(level, strategy, callback)"
"assert.doesNotReject(block[, error][, message])",async_hooks.executionAsyncId(),Class Method: Buffer.allocUnsafeSlow(size),,"child_process.spawn(command[, args][, options])",· worker.disconnect(),console.countReset([label]),new crypto.Certificate(),"dns.lookupService(address, port, callback)",,emitter.eventNames(),dirent.isFIFO(),"agent.reuseSocket(socket, request)","http2session.ping([payload, ]callback)","server.setTimeout([msecs][, callback])",session.connect(),require.resolve.paths(request),server.connections,os.freemem(),path.format(pathObject),performance.now(),process.cwd(),querystring.unescape(str),"rl.question(query, callback)","replServer.parseREPLKeyword(keyword[, rest])",writable.setDefaultEncoding(encoding),,timeout.refresh(),server.getTicketKeys(),trace_events.getEnabledCategories(),,"socket.bind(options[, callback])",urlSearchParams.delete(name),"util.format(format[, ...args])",v8.setFlagsFromString(flags),"new vm.Script(code, options)",port.start(),zlib.createDeflate([options])
"assert.doesNotThrow(block[, error][, message])",async_hooks.triggerAsyncId(),"Class Method: Buffer.byteLength(string[, encoding])",,"child_process.execFileSync(file[, args][, options])",· worker.exitedAfterDisconnect,"console.debug(data[, ...args])",certificate.exportChallenge(spkac),"dns.resolve(hostname[, rrtype], callback)",,emitter.getMaxListeners(),dirent.isFile(),agent.destroy(),http2session.ref(),"https.createServer([options][, requestListener])",session.disconnect(),,server.getConnections(callback),os.getPriority([pid]),path.isAbsolute(path),performance.timerify(fn),process.disconnect(),,rl.resume(),repl.start([options]),writable.uncork(),,timeout.unref(),server.listen(),,,socket.close([callback]),urlSearchParams.entries(),"util.formatWithOptions(inspectOptions, format[, ...args])",v8.serialize(value),script.createCachedData(),port.unref(),zlib.createDeflateRaw([options])
"assert.equal(actual, expected[, message])",,"Class Method: Buffer.compare(buf1, buf2)",,"child_process.execSync(command[, options])",· worker.isConnected(),"console.dir(obj[, options])",certificate.exportPublicKey(spkac),"dns.resolve4(hostname[, options], callback)",,emitter.listenerCount(eventName),dirent.isSocket(),agent.getName(options),http2session.remoteSettings,"https.get(options[, callback])","session.post(method[, params][, callback])",,server.listen(),os.homedir(),path.join([...paths]),new PerformanceObserver(callback),"process.dlopen(module, filename[, flags])",,rl.setPrompt(prompt),,writable.writableHighWaterMark,,"setImmediate(callback[, ...args])",server.setTicketKeys(keys),,,"socket.dropMembership(multicastAddress[, multicastInterface])","urlSearchParams.forEach(fn[, thisArg])",util.getSystemErrorName(err),v8.deserialize(buffer),"script.runInContext(contextifiedSandbox[, options])","worker.postMessage(value[, transferList])",zlib.createGunzip([options])
assert.fail([message]),,"Class Method: Buffer.concat(list[, totalLength])",,"child_process.spawnSync(command[, args][, options])",· worker.isDead(),console.dirxml(...data),certificate.verifySpkac(spkac),"dns.resolve6(hostname[, options], callback)",,emitter.listeners(eventName),dirent.isSymbolicLink(),request.abort(),"http2session.setTimeout(msecs, callback)","https.get(url[, options][, callback])",,,"server.listen(handle[, backlog][, callback])",os.hostname(),path.normalize(path),performanceObserver.disconnect(),"process.emitWarning(warning[, options])",,"rl.write(data[, key])",,writable.writableLength,,"setInterval(callback, delay[, ...args])",tlsSocket.address(),,,socket.getRecvBufferSize(),urlSearchParams.get(name),"util.inherits(constructor, superConstructor)",serializer.writeHeader(),"script.runInNewContext([sandbox[, options]])",worker.ref(),zlib.createGzip([options])
assert.ifError(value),,Class Method: Buffer.from(array),,subprocess.disconnect(),· worker.kill([signal='SIGTERM']),"console.error([data][, ...args])",cipher.final([outputEncoding]),"dns.resolveAny(hostname, callback)",,"emitter.off(eventName, listener)",stats.isBlockDevice(),"request.end([data[, encoding]][, callback])",http2session.settings(settings),"https.request(options[, callback])",,,"server.listen(options[, callback])",os.loadavg(),path.parse(path),performanceObserver.observe(options),"process.emitWarning(warning[, type[, code]][, ctor])",,"readline.clearLine(stream, dir)",,"writable.write(chunk[, encoding][, callback])",,"setTimeout(callback, delay[, ...args])",tlsSocket.disableRenegotiation(),,,socket.getSendBufferSize(),urlSearchParams.getAll(name),"util.inspect(object[, options])",serializer.writeValue(value),script.runInThisContext([options]),worker.terminate([callback]),zlib.createInflate([options])
"assert.notDeepEqual(actual, expected[, message])",,"Class Method: Buffer.from(arrayBuffer[, byteOffset[, length]])",,subprocess.kill([signal]),"· worker.send(message[, sendHandle][, callback])",console.group([...label]),"cipher.setAAD(buffer[, options])","dns.resolveCname(hostname, callback)",,"emitter.on(eventName, listener)",stats.isCharacterDevice(),request.flushHeaders(),http2session.unref(),"https.request(url[, options][, callback])",,,"server.listen(path[, backlog][, callback])",os.networkInterfaces(),path.toNamespacedPath(path),performanceObserverEntryList.getEntries(),process.exit([code]),,readline.clearScreenDown(stream),,readable.destroy([error]),,clearImmediate(immediate),tlsSocket.getCipher(),,,socket.ref(),urlSearchParams.has(name),"util.isDeepStrictEqual(val1, val2)",serializer.releaseBuffer(),"vm.compileFunction(code[, params[, options]])",worker.unref(),zlib.createInflateRaw([options])
"assert.notDeepStrictEqual(actual, expected[, message])",,Class Method: Buffer.from(buffer),,subprocess.ref(),,console.groupCollapsed(),cipher.getAuthTag(),"dns.resolveMx(hostname, callback)",,"emitter.once(eventName, listener)",stats.isDirectory(),request.getHeader(name),"serverhttp2session.altsvc(alt, originOrStream)",,,,"server.listen([port[, host[, backlog]]][, callback])",os.platform(),"path.relative(from, to)","performanceObserverEntryList.getEntriesByName(name[, type])",process.getegid(),,readline.createInterface(options),,readable.isPaused(),,clearInterval(timeout),tlsSocket.getEphemeralKeyInfo(),,,"socket.send(msg[, offset, length], port[, address][, callback])",urlSearchParams.keys(),util.promisify(original),"serializer.transferArrayBuffer(id, arrayBuffer)","vm.createContext([sandbox[, options]])",,zlib.createUnzip([options])
