robotparser.RobotFileParser.read,,asyncore.dispatcher.send,,urllib.urlopen,,webbrower.open
asyncore.dispatcher.recv,,"socket.send(bytes[, flags])",,urllib.URLopener,,webbrower.open_new
mimetypes.MimeTypes.read,,"socket.sendall(bytes[, flags])",,urllib.FancyURLopener,,webbrower.open_new_tab
mimetypes.MimeTypes.readfp,,"socket.sendto(bytes, address)",,urllib2.urlopen,,wsgiref.simple_server.WSGIServer
mimetypes.MimeTypes.read_windows_registry,,"socket.sendto(bytes, flags, address)",,urllib2.Request,,wsgiref.simple_server.make_server
mimetypes.MimeTypes.read_mime_types,,"socket.sendmsg(buffers[, ancdata[, flags[, address]]])",,urllib2.OpenerDirector.open,,SocketServer.UDPServer
urllib.urlretrieve,,"socket.sendmsg_afalg([msg, ]*, op[, iv[, assoclen[, flags]]])",,urllib2.FTPHandler.ftp_open,,SocketServer.TCPServer
socket.getaddrinfo,,"socket.sendfile(file, offset=0, count=None)",,urllib2.HTTPHandler.http_open,,SocketServer.UnixStreamServer
socket.gethostbyname,,ssl.SSLSocket.write(buf),,urllib2.FileHandler.file_open,,SocketServer.UnixDatagramServer
socket.gethostname,,ssl.SSLSocket.send(),,urllib2.HTTPSHandler.https_open,,SocketServer.BaseServer
"socket.recv(bufsize[, flags])",,ssl.SSLSocket.sendall(),,httplib.HTTPConnection,,BaseHTTPServer.HTTPServer
"socket.recvfrom(bufsize[, flags])",,ssl.SSLSocket.sendfile(),,httplib.HTTPSConnection,,xmlrpclib.ServerProxy
"socket.recvmsg(bufsize[, ancbufsize[, flags]])",,"os.sendfile(out, in, offset, count, [headers, ][trailers, ]flags=0)",,ftplib.FTP_TLS,,SimpleXMLRPCServer.SimpleXMLRPCServer
"socket.recvmsg_into(buffers[, ancbufsize[, flags]])",,"os.write(fd, str)",,ftplib.FTP,,DocXMLRPCServer.DocXMLRPCServer
"socket.recvfrom_into(buffer[, nbytes[, flags]])",,"os.writev(fd, buffers)",,poplib.POP3,,socketserver.UDPServer
"socket.recv_into(buffer[, nbytes[, flags]])",,"os.pwrite(fd, str, offset)",,poplib.POP3_SSL,,socketserver.TCPServer
"ssl.SSLSocket.read(len=1024, buffer=None)",,"os.pwritev(fd, buffers, offset, flags=0)",,imaplib.IMAP4,,socketserver.UnixStreamServer
